iteration,method,threshold,min_component_size,reason,status,acceptance_reason,score,proxy_iou,proxy_dice,total_voxels,foreground_voxels,background_voxels,foreground_fraction,background_fraction,connected_components_3d,largest_component_fraction,boundary_touch_voxels,slice_index,slice_foreground_voxels,slice_foreground_fraction,slice_components_2d,slice_largest_component_voxels,diagnostic_slice_path,diagnostic_panel_path
1,global_threshold,39000,64,Initial coarse threshold based on bright-material tail.,valid,Accepted as the best candidate so far.,0.6128441581362514,0.6128441581362514,0.7599545871120412,519119955,63752596,455367359,0.12280898737556717,0.8771910126244328,2,0.9999988235773175,1031568,380,38707,0.056742236002081635,255,4281,C:\Users\andre\llnl_data_science_challenge_2026\data\9x9x9_octet_lattice\segmentation\iteration_01_slice_380.png,C:\Users\andre\llnl_data_science_challenge_2026\data\9x9x9_octet_lattice\segmentation\iteration_01_representative_panel.png
2,global_threshold,40000,64,Raised threshold after iteration 1 showed background inclusion.,valid,Accepted as the best candidate so far.,0.6250178325170004,0.6250178325170004,0.7692442753676202,519119955,58890411,460229544,0.11344278029150315,0.8865572197084969,2,0.9999929869737197,1023218,380,33945,0.04976141785957737,253,1985,C:\Users\andre\llnl_data_science_challenge_2026\data\9x9x9_octet_lattice\segmentation\iteration_02_slice_380.png,C:\Users\andre\llnl_data_science_challenge_2026\data\9x9x9_octet_lattice\segmentation\iteration_02_representative_panel.png
3,global_threshold,40500,64,Midpoint refinement between 40000 and 41000.,valid,Rejected: did not improve the best proxy score.,0.6249020568070519,0.6249020568070519,0.7691565829327467,519119955,56740244,462379711,0.10930083394694393,0.8906991660530561,2,0.9999975326154749,1019904,380,31961,0.04685298795728243,250,1798,C:\Users\andre\llnl_data_science_challenge_2026\data\9x9x9_octet_lattice\segmentation\iteration_03_slice_380.png,C:\Users\andre\llnl_data_science_challenge_2026\data\9x9x9_octet_lattice\segmentation\iteration_03_representative_panel.png
4,global_threshold,40750,64,Slightly stricter threshold to test under-segmentation onset.,valid,Rejected: did not improve the best proxy score.,0.6228015776548508,0.6228015776548508,0.767563436258025,519119955,55707891,463412064,0.10731217411975619,0.8926878258802438,1,1.0,1018355,380,31020,0.045473536073179846,248,1735,C:\Users\andre\llnl_data_science_challenge_2026\data\9x9x9_octet_lattice\segmentation\iteration_04_slice_380.png,C:\Users\andre\llnl_data_science_challenge_2026\data\9x9x9_octet_lattice\segmentation\iteration_04_representative_panel.png
