foreground_voxels,background_voxels,foreground_fraction,component_count,largest_component_fraction,small_component_fraction,contrast,boundary_occupancy,slice_stability,empty_full_slices,score,iteration,method,threshold,status,runtime_seconds,next_change_reason
927545,7254895,0.11335799590342245,21298,0.952306357103968,0.042117633106749534,0.8763065195544085,0.2645102230175299,0.8191188510927687,0,0.8466976812244897,1,global_bright_threshold,40249.625,success,0.7394099235534668,initial Otsu; adjust occupancy
1163523,7018917,0.1421975596521331,2731,0.9934784271561456,0.005749778904241686,0.7784258242895175,0.2725337177320476,0.82757680089286,0,0.8130226891076913,2,global_bright_threshold,37554.185,success,0.2763679027557373,refine around best threshold based on score and occupancy
763220,7419220,0.09327535551742512,48475,0.8568079976939807,0.09089122402452766,0.9436969451438646,0.26102660966961594,0.8205826146561866,0,0.8510174571714647,3,global_bright_threshold,42945.065,success,0.29393792152404785,refine around best threshold based on score and occupancy
681357,7501083,0.0832706380981712,56699,0.775925102405934,0.10915569958186384,0.9764393370112352,0.2597176657719455,0.821325106407237,0,0.8462993446220912,4,global_bright_threshold,44292.785,success,0.2950470447540283,refine around best threshold based on score and occupancy
802112,7380328,0.09802846094807906,42763,0.8865943908082662,0.0802855461581425,0.9277588496317053,0.261618948205587,0.8195177953885951,0,0.8514209610244069,5,global_bright_threshold,42271.205,success,0.3066279888153076,refine around best threshold based on score and occupancy
782692,7399748,0.09565508576903711,45782,0.8736527267430867,0.08595335074333199,0.9357856441106551,0.26133313450641216,0.8199138761849455,0,0.8515945560622648,6,global_bright_threshold,42608.135,success,0.2915618419647217,refine around best threshold based on score and occupancy
792576,7389864,0.0968630384090809,44275,0.8801414627745479,0.08313650678294573,0.9318011202326153,0.26145740133214035,0.8196026892722358,0,0.8514869446510747,7,global_bright_threshold,42439.670000000006,success,0.2744901180267334,refine around best threshold based on score and occupancy
777833,7404607,0.09506125312254046,46478,0.8689667319334613,0.08734008456828136,0.93780677941111,0.2612585744109752,0.8200140917814385,0,0.8513147497300355,8,global_bright_threshold,42692.3675,success,0.28037500381469727,refine around best threshold based on score and occupancy
