iteration,method,threshold_raw,threshold_minmax_normalized,foreground_voxels,background_voxels,foreground_fraction,connected_components_26conn,largest_component_fraction,boundary_touching_voxels,dice_to_reference,status,reason,output_mask_path
1,global threshold: volume >= threshold,0.005000,0.442106,721774,16055442,0.04302108,1,1.00000000,0,0.92589638,accepted,First valid candidate.,C:\Users\andre\llnl_data_science_challenge_2026\data\unitcell\segmentation\unitcell_mask_threshold_0p005.npy
2,global threshold: volume >= threshold,0.009000,0.659657,667518,16109698,0.03978717,1,1.00000000,0,0.96484764,accepted,Improved objective score from 0.92589638 to 0.96484764.,C:\Users\andre\llnl_data_science_challenge_2026\data\unitcell\segmentation\unitcell_mask_threshold_0p009.npy
3,global threshold: volume >= threshold,0.010000,0.714045,622182,16155034,0.03708494,1,1.00000000,0,1.00000000,accepted,Improved objective score from 0.96484764 to 1.00000000.,C:\Users\andre\llnl_data_science_challenge_2026\data\unitcell\segmentation\unitcell_mask_threshold_0p01.npy
